marker,Identifier,Score,Component,Description
DGraham,Participant 12896012,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12896012,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12896012,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12896012,4,18,Discussion correctly interprets findings
DGraham,Participant 12896012,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12896012,3,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12896012,2,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12896012,3,22,Discussion concludes appropriately.
DGraham,Participant 12896012,4,23,Overall clarity of writing
DGraham,Participant 12896012,4,24,Overall quality of grammar and spelling
DGraham,Participant 12896012,3,25,Correct formatting of sections and sub-sections
DGraham,Participant 12896012,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895975,3,1,Abstract is clear and accurate
DGraham,Participant 12895975,3,2,Abstract contains correct information
DGraham,Participant 12895975,3,3,Introduction is clear and accurate
DGraham,Participant 12895975,3,4,Introduction gives big-picture overview
DGraham,Participant 12895975,2,5,Introduction outlines specific research area
DGraham,Participant 12895975,2,6,Introduction gives rationale for current experiment
DGraham,Participant 12895975,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895975,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895975,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895975,3,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895975,2,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895975,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895975,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895975,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895975,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895975,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895975,3,18,Discussion correctly interprets findings
DGraham,Participant 12895975,4,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895975,4,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895975,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895975,4,22,Discussion concludes appropriately.
DGraham,Participant 12895975,3,23,Overall clarity of writing
DGraham,Participant 12895975,3,24,Overall quality of grammar and spelling
DGraham,Participant 12895975,5,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895975,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12896011,5,1,Abstract is clear and accurate
DGraham,Participant 12896011,5,2,Abstract contains correct information
DGraham,Participant 12896011,4,3,Introduction is clear and accurate
DGraham,Participant 12896011,4,4,Introduction gives big-picture overview
DGraham,Participant 12896011,4,5,Introduction outlines specific research area
DGraham,Participant 12896011,3,6,Introduction gives rationale for current experiment
DGraham,Participant 12896011,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12896011,3,8,Sample sizes are justified through a power calculation
DGraham,Participant 12896011,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12896011,5,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12896011,3,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12896011,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12896011,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12896011,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12896011,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12896011,5,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12896011,4,18,Discussion correctly interprets findings
DGraham,Participant 12896011,5,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12896011,3,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12896011,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12896011,3,22,Discussion concludes appropriately.
DGraham,Participant 12896011,4,23,Overall clarity of writing
DGraham,Participant 12896011,5,24,Overall quality of grammar and spelling
DGraham,Participant 12896011,5,25,Correct formatting of sections and sub-sections
DGraham,Participant 12896011,3,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895999,3,1,Abstract is clear and accurate
DGraham,Participant 12895999,3,2,Abstract contains correct information
DGraham,Participant 12895999,3,3,Introduction is clear and accurate
DGraham,Participant 12895999,3,4,Introduction gives big-picture overview
DGraham,Participant 12895999,3,5,Introduction outlines specific research area
DGraham,Participant 12895999,3,6,Introduction gives rationale for current experiment
DGraham,Participant 12895999,4,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895999,4,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895999,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895999,4,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895999,4,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895999,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895999,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895999,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895999,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895999,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895999,4,18,Discussion correctly interprets findings
DGraham,Participant 12895999,4,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895999,4,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895999,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895999,4,22,Discussion concludes appropriately.
DGraham,Participant 12895999,4,23,Overall clarity of writing
DGraham,Participant 12895999,5,24,Overall quality of grammar and spelling
DGraham,Participant 12895999,4,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895999,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895991,2,1,Abstract is clear and accurate
DGraham,Participant 12895991,3,2,Abstract contains correct information
DGraham,Participant 12895991,2,3,Introduction is clear and accurate
DGraham,Participant 12895991,3,4,Introduction gives big-picture overview
DGraham,Participant 12895991,3,5,Introduction outlines specific research area
DGraham,Participant 12895991,3,6,Introduction gives rationale for current experiment
DGraham,Participant 12895991,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895991,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895991,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895991,2,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895991,2,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895991,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895991,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895991,1,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895991,1,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895991,2,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895991,1,18,Discussion correctly interprets findings
DGraham,Participant 12895991,1,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895991,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895991,1,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895991,2,22,Discussion concludes appropriately.
DGraham,Participant 12895991,2,23,Overall clarity of writing
DGraham,Participant 12895991,2,24,Overall quality of grammar and spelling
DGraham,Participant 12895991,2,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895991,3,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895976,4,1,Abstract is clear and accurate
DGraham,Participant 12895976,3,2,Abstract contains correct information
DGraham,Participant 12895976,3,3,Introduction is clear and accurate
DGraham,Participant 12895976,4,4,Introduction gives big-picture overview
DGraham,Participant 12895976,3,5,Introduction outlines specific research area
DGraham,Participant 12895976,4,6,Introduction gives rationale for current experiment
DGraham,Participant 12895976,4,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895976,4,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895976,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895976,4,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895976,3,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895976,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895976,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895976,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895976,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895976,4,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895976,3,18,Discussion correctly interprets findings
DGraham,Participant 12895976,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895976,4,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895976,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895976,4,22,Discussion concludes appropriately.
DGraham,Participant 12895976,4,23,Overall clarity of writing
DGraham,Participant 12895976,4,24,Overall quality of grammar and spelling
DGraham,Participant 12895976,5,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895976,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12896016,3,1,Abstract is clear and accurate
DGraham,Participant 12896016,3,2,Abstract contains correct information
DGraham,Participant 12896016,2,3,Introduction is clear and accurate
DGraham,Participant 12896016,3,4,Introduction gives big-picture overview
DGraham,Participant 12896016,2,5,Introduction outlines specific research area
DGraham,Participant 12896016,2,6,Introduction gives rationale for current experiment
DGraham,Participant 12896016,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12896016,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12896016,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12896016,2,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12896016,3,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12896016,2,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12896016,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12896016,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12896016,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12896016,4,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12896016,3,18,Discussion correctly interprets findings
DGraham,Participant 12896016,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12896016,3,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12896016,2,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12896016,3,22,Discussion concludes appropriately.
DGraham,Participant 12896016,3,23,Overall clarity of writing
DGraham,Participant 12896016,4,24,Overall quality of grammar and spelling
DGraham,Participant 12896016,3,25,Correct formatting of sections and sub-sections
DGraham,Participant 12896016,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895983,2,1,Abstract is clear and accurate
DGraham,Participant 12895983,3,2,Abstract contains correct information
DGraham,Participant 12895983,2,3,Introduction is clear and accurate
DGraham,Participant 12895983,3,4,Introduction gives big-picture overview
DGraham,Participant 12895983,2,5,Introduction outlines specific research area
DGraham,Participant 12895983,2,6,Introduction gives rationale for current experiment
DGraham,Participant 12895983,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895983,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895983,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895983,2,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895983,2,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895983,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895983,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895983,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895983,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895983,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895983,3,18,Discussion correctly interprets findings
DGraham,Participant 12895983,2,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895983,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895983,2,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895983,3,22,Discussion concludes appropriately.
DGraham,Participant 12895983,3,23,Overall clarity of writing
DGraham,Participant 12895983,3,24,Overall quality of grammar and spelling
DGraham,Participant 12895983,2,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895983,3,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895989,3,1,Abstract is clear and accurate
DGraham,Participant 12895989,3,2,Abstract contains correct information
DGraham,Participant 12895989,3,3,Introduction is clear and accurate
DGraham,Participant 12895989,3,4,Introduction gives big-picture overview
DGraham,Participant 12895989,3,5,Introduction outlines specific research area
DGraham,Participant 12895989,3,6,Introduction gives rationale for current experiment
DGraham,Participant 12895989,3,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895989,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895989,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895989,3,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895989,2,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895989,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895989,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895989,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895989,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895989,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895989,3,18,Discussion correctly interprets findings
DGraham,Participant 12895989,4,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895989,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895989,2,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895989,3,22,Discussion concludes appropriately.
DGraham,Participant 12895989,3,23,Overall clarity of writing
DGraham,Participant 12895989,3,24,Overall quality of grammar and spelling
DGraham,Participant 12895989,2,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895989,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12895990,3,1,Abstract is clear and accurate
DGraham,Participant 12895990,3,2,Abstract contains correct information
DGraham,Participant 12895990,2,3,Introduction is clear and accurate
DGraham,Participant 12895990,4,4,Introduction gives big-picture overview
DGraham,Participant 12895990,3,5,Introduction outlines specific research area
DGraham,Participant 12895990,2,6,Introduction gives rationale for current experiment
DGraham,Participant 12895990,4,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12895990,1,8,Sample sizes are justified through a power calculation
DGraham,Participant 12895990,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12895990,2,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12895990,3,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12895990,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12895990,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12895990,2,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12895990,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12895990,3,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12895990,2,18,Discussion correctly interprets findings
DGraham,Participant 12895990,2,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12895990,2,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12895990,2,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12895990,3,22,Discussion concludes appropriately.
DGraham,Participant 12895990,3,23,Overall clarity of writing
DGraham,Participant 12895990,4,24,Overall quality of grammar and spelling
DGraham,Participant 12895990,2,25,Correct formatting of sections and sub-sections
DGraham,Participant 12895990,4,26,Correct usage of APA-formatted citations and references
DGraham,Participant 12896019,4,1,Abstract is clear and accurate
DGraham,Participant 12896019,4,2,Abstract contains correct information
DGraham,Participant 12896019,4,3,Introduction is clear and accurate
DGraham,Participant 12896019,4,4,Introduction gives big-picture overview
DGraham,Participant 12896019,3,5,Introduction outlines specific research area
DGraham,Participant 12896019,4,6,Introduction gives rationale for current experiment
DGraham,Participant 12896019,4,7,"Participant section is clear, accurate, and contain correct information"
DGraham,Participant 12896019,5,8,Sample sizes are justified through a power calculation
DGraham,Participant 12896019,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
DGraham,Participant 12896019,4,10,"Procedure section is clear, accurate, and contain correct information."
DGraham,Participant 12896019,4,11,"Result section is overall clear, accurate, and contain correct information"
DGraham,Participant 12896019,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
DGraham,Participant 12896019,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
DGraham,Participant 12896019,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
DGraham,Participant 12896019,5,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
DGraham,Participant 12896019,4,17,Discussion correctly and clearly summarises findings
DGraham,Participant 12896019,3,18,Discussion correctly interprets findings
DGraham,Participant 12896019,3,19,Discussion makes appropriate links to previous literature
DGraham,Participant 12896019,4,20,Discussion provides good considerations of the limitations of the current study
DGraham,Participant 12896019,3,21,"Discussion makes a good, sensible suggestion for future work"
DGraham,Participant 12896019,4,22,Discussion concludes appropriately.
DGraham,Participant 12896019,4,23,Overall clarity of writing
DGraham,Participant 12896019,5,24,Overall quality of grammar and spelling
DGraham,Participant 12896019,5,25,Correct formatting of sections and sub-sections
DGraham,Participant 12896019,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895980,3,1,Abstract is clear and accurate
JSolomon,Participant 12895980,4,2,Abstract contains correct information
JSolomon,Participant 12895980,3,3,Introduction is clear and accurate
JSolomon,Participant 12895980,3,4,Introduction gives big-picture overview
JSolomon,Participant 12895980,5,5,Introduction outlines specific research area
JSolomon,Participant 12895980,3,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895980,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895980,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895980,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895980,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895980,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895980,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895980,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895980,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895980,1,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895980,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895980,3,18,Discussion correctly interprets findings
JSolomon,Participant 12895980,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895980,4,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895980,1,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895980,3,22,Discussion concludes appropriately.
JSolomon,Participant 12895980,3,23,Overall clarity of writing
JSolomon,Participant 12895980,3,24,Overall quality of grammar and spelling
JSolomon,Participant 12895980,2,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895980,2,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895986,3,1,Abstract is clear and accurate
JSolomon,Participant 12895986,3,2,Abstract contains correct information
JSolomon,Participant 12895986,3,3,Introduction is clear and accurate
JSolomon,Participant 12895986,4,4,Introduction gives big-picture overview
JSolomon,Participant 12895986,4,5,Introduction outlines specific research area
JSolomon,Participant 12895986,4,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895986,4,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895986,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895986,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895986,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895986,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895986,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895986,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895986,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895986,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895986,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895986,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895986,3,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895986,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895986,2,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895986,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895986,2,23,Overall clarity of writing
JSolomon,Participant 12895986,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12895986,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895986,4,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12895995,3,1,Abstract is clear and accurate
JSolomon,Participant 12895995,3,2,Abstract contains correct information
JSolomon,Participant 12895995,2,3,Introduction is clear and accurate
JSolomon,Participant 12895995,2,4,Introduction gives big-picture overview
JSolomon,Participant 12895995,2,5,Introduction outlines specific research area
JSolomon,Participant 12895995,2,6,Introduction gives rationale for current experiment
JSolomon,Participant 12895995,2,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12895995,3,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12895995,4,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12895995,3,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12895995,4,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12895995,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12895995,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12895995,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12895995,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12895995,3,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12895995,2,18,Discussion correctly interprets findings
JSolomon,Participant 12895995,2,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12895995,2,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12895995,1,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12895995,2,22,Discussion concludes appropriately.
JSolomon,Participant 12895995,2,23,Overall clarity of writing
JSolomon,Participant 12895995,2,24,Overall quality of grammar and spelling
JSolomon,Participant 12895995,4,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12895995,3,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12896017,5,1,Abstract is clear and accurate
JSolomon,Participant 12896017,4,2,Abstract contains correct information
JSolomon,Participant 12896017,5,3,Introduction is clear and accurate
JSolomon,Participant 12896017,4,4,Introduction gives big-picture overview
JSolomon,Participant 12896017,5,5,Introduction outlines specific research area
JSolomon,Participant 12896017,5,6,Introduction gives rationale for current experiment
JSolomon,Participant 12896017,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12896017,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12896017,5,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12896017,5,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12896017,3,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12896017,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12896017,5,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12896017,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12896017,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12896017,4,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12896017,3,18,Discussion correctly interprets findings
JSolomon,Participant 12896017,5,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12896017,3,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12896017,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12896017,3,22,Discussion concludes appropriately.
JSolomon,Participant 12896017,4,23,Overall clarity of writing
JSolomon,Participant 12896017,5,24,Overall quality of grammar and spelling
JSolomon,Participant 12896017,5,25,Correct formatting of sections and sub-sections
JSolomon,Participant 12896017,3,26,Correct usage of APA-formatted citations and references
JSolomon,Participant 12896018,4,1,Abstract is clear and accurate
JSolomon,Participant 12896018,4,2,Abstract contains correct information
JSolomon,Participant 12896018,4,3,Introduction is clear and accurate
JSolomon,Participant 12896018,4,4,Introduction gives big-picture overview
JSolomon,Participant 12896018,4,5,Introduction outlines specific research area
JSolomon,Participant 12896018,5,6,Introduction gives rationale for current experiment
JSolomon,Participant 12896018,5,7,"Participant section is clear, accurate, and contain correct information"
JSolomon,Participant 12896018,5,8,Sample sizes are justified through a power calculation
JSolomon,Participant 12896018,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
JSolomon,Participant 12896018,4,10,"Procedure section is clear, accurate, and contain correct information."
JSolomon,Participant 12896018,4,11,"Result section is overall clear, accurate, and contain correct information"
JSolomon,Participant 12896018,5,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
JSolomon,Participant 12896018,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
JSolomon,Participant 12896018,5,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
JSolomon,Participant 12896018,4,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
JSolomon,Participant 12896018,2,17,Discussion correctly and clearly summarises findings
JSolomon,Participant 12896018,3,18,Discussion correctly interprets findings
JSolomon,Participant 12896018,4,19,Discussion makes appropriate links to previous literature
JSolomon,Participant 12896018,3,20,Discussion provides good considerations of the limitations of the current study
JSolomon,Participant 12896018,3,21,"Discussion makes a good, sensible suggestion for future work"
JSolomon,Participant 12896018,3,22,Discussion concludes appropriately.
JSolomon,Participant 12896018,3,23,Overall clarity of writing
JSolomon,Participant 12896018,4,24,Overall quality of grammar and spelling
JSolomon,Participant 12896018,5,25,Correct formatting of sections and sub-sections
